ACTA,FILE_NAME,HASH_FILE_TSE,DATE_TIME,URL_TYPE,URL
2016,missing_uno_2016.jpeg,f43639d5bf02ee3d7cf161c3d50157656aeba910a2bcfa1d675da5228b5442a5,2024-02-21T14:03:15.083881,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2016
2020,missing_uno_2020.jpeg,9fc8422a82748683a21a7a064d0161b60ae3df659339bbb758140097d5c8a1bc,2024-02-21T14:03:17.046338,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2020
2023,missing_uno_2023.jpeg,e580fc3a6e0f8880df8a16cc171ed258144ca7510ece1b776f144d382f8eacb0,2024-02-21T14:03:18.997632,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2023
2025,missing_uno_2025.jpeg,ebbe444ea630979c97bea9cf303e88c63312924a2fda5dfeb416dd0ec0bf0339,2024-02-21T14:03:20.936257,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2025
2031,missing_uno_2031.jpeg,85638f22ee2fb34537ee9ff757a5e037e3d39acdfd08c0f32f367008e378bfe6,2024-02-21T14:03:22.970738,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2031
2035,missing_uno_2035.jpeg,b29a75f19b5ca5281afc679548f1d244425560f7753d63b7602afbe48f455ca8,2024-02-21T14:03:25.037991,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2035
2049,missing_uno_2049.jpeg,b227444808c5915ea311ec2efe336d295b4244a93232e114cf05afe80b4f2dd5,2024-02-21T14:03:27.103939,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2049
2051,missing_uno_2051.jpeg,aa56b9309dc8fa7fcb841aa0acb7bbaf42a31ce501125fb1bc244dd57814480f,2024-02-21T14:03:29.098859,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2051
2053,missing_uno_2053.jpeg,dcd13103e81f2449698656a30cf2be04bc097b7001b5596ed9237410a0cd83d6,2024-02-21T14:03:31.021379,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2053
2067,missing_uno_2067.jpeg,d1d6237ac7eb6363e0c440212565bd5d4b505b019329b35904e4cf08e57a6310,2024-02-21T14:03:33.100355,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2067
2072,missing_uno_2072.jpeg,6cb1756d31fc56b54fa78b3f60dd477bf1a9538fd331f737a28ee844f93f2bf7,2024-02-21T14:03:35.113481,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2072
2075,missing_uno_2075.jpeg,7ac32f9d41c3f86a1dcf12c923ca6d46929defc7da285d457cf2aa065631860a,2024-02-21T14:03:37.037711,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2075
2077,missing_uno_2077.jpeg,43e9c0cd0d81a0aab27145bb35b2e5a5371738b225a6b7b7ebc5411445360e34,2024-02-21T14:03:38.910507,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2077
2079,missing_uno_2079.jpeg,82713688ba869175f5637c1686924addf2d10b6f0600d2012e9f0b4678d79af0,2024-02-21T14:03:40.921602,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2079
2089,missing_uno_2089.jpeg,683561e63f4e506f56c9116a8e114495a44949835715762a62c91dedcf076f31,2024-02-21T14:03:42.935775,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2089
209,not_found,Not Found,2024-02-21T14:03:43.408968,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/209
2137,missing_uno_2137.jpeg,15bf0645f6c2d7730e7481c49916de2a7af6582db06c2fa3022c6b3f6c71aa0c,2024-02-21T14:03:45.318888,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2137
2142,missing_uno_2142.jpeg,13791e92cb64c21baecd271a1c347f0215176159a6abcd66a1f259d73a6f046b,2024-02-21T14:03:47.280291,uno,https://preliminar.tse.gob.sv/administracion/img/get-acta/2142
